nomor_kontrak,id_konsumen,nama_konsumen,kode_proyek,tipe_unit,luas_bangunan_m2,luas_tanah_m2,tgl_akad,skema_akad,harga_pokok_developer,margin_keuntungan,total_harga_jual,uang_muka_dp,tenor_bulan,angsuran_per_bulan,angsuran_ke,total_terbayar,sisa_piutang,status_kelancaran
KTR-AGP-2025001,KNS-1907,Zaid Hidayat,PRJ-01,Tipe 84/120,84,120,2025-05-15 07:53:00,Istishna' (Pesan Bangun),780000000,140400000,920400000,184080000,24,30680000,22,859040000,61360000,Dalam Pantauan
KTR-AGP-2025002,KNS-386,Zaid Saputra,PRJ-02,Tipe 36/60,36,60,2025-02-27 15:15:00,Istishna' (Pesan Bangun),240000000,52800000,292800000,29280000,60,4392000,32,169824000,122976000,Tertunggak >60 Hari
KTR-AGP-2025003,KNS-1578,Zahra Utami,PRJ-05,Tipe 84/120,84,120,2025-12-04 07:33:00,Istishna' (Pesan Bangun),780000000,234000000,1014000000,304200000,84,8450000,29,549250000,464750000,Lunas Dini
KTR-AGP-2025004,KNS-2925,Khadijah Firmansyah,PRJ-05,Tipe 45/72,45,72,2025-02-23 18:16:00,Cash Keras Bertahap,380000000,68400000,448400000,89680000,24,14946666,11,254093326,194306674,Lancar
KTR-AGP-2025005,KNS-2066,Khadijah Lestari,PRJ-04,Tipe 45/72,45,72,2025-04-13 11:50:00,Murabahah (Jual Beli Angsuran),380000000,114000000,494000000,98800000,24,16466666,3,148199998,345800002,Dalam Pantauan
KTR-AGP-2025006,KNS-2304,Ali Hidayat,PRJ-03,Tipe 36/60,36,60,2025-09-13 09:29:00,Murabahah (Jual Beli Angsuran),240000000,52800000,292800000,58560000,36,6506666,3,78079998,214720002,Dalam Pantauan
KTR-AGP-2025007,KNS-1982,Harun Kusuma,PRJ-02,Tipe 45/72,45,72,2025-08-12 13:22:00,Istishna' (Pesan Bangun),380000000,68400000,448400000,44840000,84,4804285,3,59252855,389147145,Lancar
KTR-AGP-2025008,KNS-1843,Rania Wijaya,PRJ-01,Tipe 45/72,45,72,2025-05-25 07:36:00,Cash Keras Bertahap,380000000,95000000,475000000,142500000,36,9236111,1,151736111,323263889,Lunas Dini
KTR-AGP-2025009,KNS-1969,Harun Saputra,PRJ-01,Tipe 45/72,45,72,2025-03-04 17:00:00,IMBT (Sewa Beli / Leasing),380000000,95000000,475000000,237500000,60,3958333,14,292916662,182083338,Lunas Dini
KTR-AGP-2025010,KNS-1309,Rania Santoso,PRJ-05,Tipe 120/150 VIP,120,150,2025-06-10 18:22:00,Cash Keras Bertahap,1250000000,225000000,1475000000,147500000,120,11062500,34,523625000,951375000,Lunas Dini
KTR-AGP-2025011,KNS-662,Ahmad Utami,PRJ-02,Tipe 36/60,36,60,2025-01-26 09:26:00,IMBT (Sewa Beli / Leasing),240000000,60000000,300000000,150000000,36,4166666,13,204166658,95833342,Lancar
KTR-AGP-2025012,KNS-1115,Fikri Suryono,PRJ-03,Tipe 120/150 VIP,120,150,2025-07-10 16:58:00,Murabahah (Jual Beli Angsuran),1250000000,225000000,1475000000,442500000,24,43020833,10,872708330,602291670,Lunas Dini
KTR-AGP-2025013,KNS-909,Ahmad Hakim,PRJ-01,Tipe 120/150 VIP,120,150,2025-02-16 14:07:00,Istishna' (Pesan Bangun),1250000000,312500000,1562500000,156250000,60,23437500,4,250000000,1312500000,Lancar
KTR-AGP-2025014,KNS-1217,Hasan Ramadhan,PRJ-05,Tipe 45/72,45,72,2025-10-02 13:02:00,Cash Keras Bertahap,380000000,114000000,494000000,49400000,84,5292857,27,192307139,301692861,Lancar
KTR-AGP-2025015,KNS-1435,Ali Hidayat,PRJ-01,Tipe 84/120,84,120,2025-03-24 20:29:00,Murabahah (Jual Beli Angsuran),780000000,140400000,920400000,92040000,24,34515000,15,609765000,310635000,Tertunggak 1-30 Hari
KTR-AGP-2025016,KNS-1889,Hasan Saputra,PRJ-04,Tipe 84/120,84,120,2025-11-17 19:05:00,Murabahah (Jual Beli Angsuran),780000000,140400000,920400000,92040000,84,9861428,12,210377136,710022864,Lunas Dini
KTR-AGP-2025017,KNS-265,Aisyah Utami,PRJ-03,Tipe 84/120,84,120,2025-06-11 12:23:00,IMBT (Sewa Beli / Leasing),780000000,171600000,951600000,95160000,36,23790000,9,309270000,642330000,Lancar
KTR-AGP-2025018,KNS-2129,Ibrahim Santoso,PRJ-02,Tipe 45/72,45,72,2025-07-09 08:09:00,Murabahah (Jual Beli Angsuran),380000000,68400000,448400000,224200000,36,6227777,7,267794439,180605561,Lancar
KTR-AGP-2025019,KNS-1134,Ibrahim Utami,PRJ-03,Tipe 45/72,45,72,2025-05-24 09:51:00,IMBT (Sewa Beli / Leasing),380000000,114000000,494000000,148200000,120,2881666,5,162608330,331391670,Lancar
KTR-AGP-2025020,KNS-2679,Fatimah Maulana,PRJ-05,Tipe 120/150 VIP,120,150,2025-05-17 13:10:00,Murabahah (Jual Beli Angsuran),1250000000,225000000,1475000000,442500000,24,43020833,2,528541666,946458334,Tertunggak >60 Hari
KTR-AGP-2025021,KNS-2625,Taufiq Maulana,PRJ-05,Tipe 45/72,45,72,2025-10-30 20:13:00,Istishna' (Pesan Bangun),380000000,83600000,463600000,231800000,24,9658333,21,434624993,28975007,Lancar
KTR-AGP-2025022,KNS-2809,Hasan Saputra,PRJ-02,Tipe 60/90,60,90,2025-06-08 13:57:00,Murabahah (Jual Beli Angsuran),540000000,162000000,702000000,140400000,36,15600000,15,374400000,327600000,Tertunggak >60 Hari
KTR-AGP-2025023,KNS-2857,Azizah Kusuma,PRJ-01,Tipe 60/90,60,90,2025-10-24 21:33:00,Murabahah (Jual Beli Angsuran),540000000,162000000,702000000,351000000,36,9750000,7,419250000,282750000,Lancar
KTR-AGP-2025024,KNS-2058,Umar Wijaya,PRJ-05,Tipe 120/150 VIP,120,150,2025-05-01 20:17:00,Cash Keras Bertahap,1250000000,375000000,1625000000,487500000,60,18958333,17,809791661,815208339,Tertunggak 1-30 Hari
KTR-AGP-2025025,KNS-2082,Muhammad Hakim,PRJ-05,Tipe 120/150 VIP,120,150,2025-01-22 14:27:00,Murabahah (Jual Beli Angsuran),1250000000,225000000,1475000000,737500000,60,12291666,11,872708326,602291674,Tertunggak >60 Hari
KTR-AGP-2025026,KNS-119,Umar Pratama,PRJ-03,Tipe 45/72,45,72,2025-09-16 21:19:00,IMBT (Sewa Beli / Leasing),380000000,114000000,494000000,49400000,24,18525000,13,290225000,203775000,Lancar
KTR-AGP-2025027,KNS-1634,Fikri Pratama,PRJ-03,Tipe 120/150 VIP,120,150,2025-11-09 15:39:00,Istishna' (Pesan Bangun),1250000000,275000000,1525000000,457500000,24,44479166,24,1524999984,16,Lunas Dini
KTR-AGP-2025028,KNS-2306,Harun Lestari,PRJ-03,Tipe 120/150 VIP,120,150,2025-02-09 08:09:00,Istishna' (Pesan Bangun),1250000000,275000000,1525000000,457500000,84,12708333,9,571874997,953125003,Lancar
KTR-AGP-2025029,KNS-103,Umar Hakim,PRJ-05,Tipe 36/60,36,60,2025-03-28 21:26:00,IMBT (Sewa Beli / Leasing),240000000,52800000,292800000,146400000,24,6100000,2,158600000,134200000,Lancar
KTR-AGP-2025030,KNS-738,Rafi Wijaya,PRJ-03,Tipe 60/90,60,90,2025-04-03 17:45:00,Cash Keras Bertahap,540000000,135000000,675000000,202500000,120,3937500,23,293062500,381937500,Lancar
KTR-AGP-2025031,KNS-2600,Fatimah Maulana,PRJ-04,Tipe 60/90,60,90,2025-02-15 10:35:00,Istishna' (Pesan Bangun),540000000,118800000,658800000,197640000,24,19215000,7,332145000,326655000,Tertunggak >60 Hari
KTR-AGP-2025032,KNS-1159,Dina Hakim,PRJ-05,Tipe 45/72,45,72,2025-08-15 21:39:00,Murabahah (Jual Beli Angsuran),380000000,68400000,448400000,134520000,24,13078333,10,265303330,183096670,Lunas Dini
KTR-AGP-2025033,KNS-1136,Fikri Santoso,PRJ-04,Tipe 84/120,84,120,2025-02-10 07:04:00,Cash Keras Bertahap,780000000,140400000,920400000,184080000,60,12272000,25,490880000,429520000,Tertunggak 1-30 Hari
KTR-AGP-2025034,KNS-150,Laila Saputra,PRJ-04,Tipe 45/72,45,72,2025-02-17 20:42:00,IMBT (Sewa Beli / Leasing),380000000,114000000,494000000,247000000,84,2940476,28,329333328,164666672,Lancar
KTR-AGP-2025035,KNS-1520,Rania Ramadhan,PRJ-01,Tipe 60/90,60,90,2025-07-22 18:10:00,Murabahah (Jual Beli Angsuran),540000000,162000000,702000000,140400000,120,4680000,11,191880000,510120000,Lancar
KTR-AGP-2025036,KNS-1117,Umar Wijaya,PRJ-05,Tipe 60/90,60,90,2025-02-03 07:38:00,Murabahah (Jual Beli Angsuran),540000000,118800000,658800000,329400000,120,2745000,16,373320000,285480000,Tertunggak >60 Hari
KTR-AGP-2025037,KNS-1260,Ilham Suryono,PRJ-01,Tipe 45/72,45,72,2025-02-05 14:56:00,Istishna' (Pesan Bangun),380000000,83600000,463600000,139080000,36,9014444,29,400498876,63101124,Lunas Dini
KTR-AGP-2025038,KNS-1966,Salma Suryono,PRJ-04,Tipe 120/150 VIP,120,150,2025-08-04 19:39:00,Murabahah (Jual Beli Angsuran),1250000000,312500000,1562500000,781250000,24,32552083,11,1139322913,423177087,Tertunggak >60 Hari
KTR-AGP-2025039,KNS-596,Fatimah Pratama,PRJ-03,Tipe 84/120,84,120,2025-08-11 09:58:00,Murabahah (Jual Beli Angsuran),780000000,140400000,920400000,460200000,60,7670000,11,544570000,375830000,Lancar
KTR-AGP-2025040,KNS-1246,Dina Hidayat,PRJ-01,Tipe 120/150 VIP,120,150,2025-05-07 14:35:00,Istishna' (Pesan Bangun),1250000000,312500000,1562500000,312500000,120,10416666,32,645833312,916666688,Tertunggak 1-30 Hari
KTR-AGP-2025041,KNS-1324,Nisa Ramadhan,PRJ-01,Tipe 36/60,36,60,2025-02-23 18:41:00,Cash Keras Bertahap,240000000,43200000,283200000,28320000,60,4248000,22,121776000,161424000,Lancar
KTR-AGP-2025042,KNS-2833,Khadijah Saputra,PRJ-01,Tipe 120/150 VIP,120,150,2025-03-22 16:16:00,IMBT (Sewa Beli / Leasing),1250000000,375000000,1625000000,487500000,36,31597222,15,961458330,663541670,Tertunggak 1-30 Hari
KTR-AGP-2025043,KNS-1847,Nisa Ramadhan,PRJ-05,Tipe 36/60,36,60,2025-03-08 10:31:00,IMBT (Sewa Beli / Leasing),240000000,72000000,312000000,93600000,24,9100000,21,284700000,27300000,Lancar
KTR-AGP-2025044,KNS-2077,Taufiq Pratama,PRJ-04,Tipe 36/60,36,60,2025-03-21 20:24:00,Cash Keras Bertahap,240000000,60000000,300000000,90000000,24,8750000,16,230000000,70000000,Lunas Dini
KTR-AGP-2025045,KNS-656,Zaid Nugroho,PRJ-01,Tipe 120/150 VIP,120,150,2025-10-02 11:05:00,IMBT (Sewa Beli / Leasing),1250000000,375000000,1625000000,812500000,24,33854166,19,1455729154,169270846,Lunas Dini
KTR-AGP-2025046,KNS-2942,Farhan Santoso,PRJ-05,Tipe 60/90,60,90,2025-02-20 20:33:00,Istishna' (Pesan Bangun),540000000,162000000,702000000,140400000,36,15600000,29,592800000,109200000,Lancar
KTR-AGP-2025047,KNS-2622,Nurul Hidayat,PRJ-01,Tipe 84/120,84,120,2025-09-04 12:23:00,Cash Keras Bertahap,780000000,171600000,951600000,95160000,84,10195714,6,156334284,795265716,Tertunggak 1-30 Hari
KTR-AGP-2025048,KNS-530,Laila Hidayat,PRJ-05,Tipe 36/60,36,60,2025-08-05 18:14:00,Murabahah (Jual Beli Angsuran),240000000,60000000,300000000,150000000,60,2500000,8,170000000,130000000,Lancar
KTR-AGP-2025049,KNS-995,Fikri Nugroho,PRJ-03,Tipe 84/120,84,120,2025-07-31 09:48:00,Murabahah (Jual Beli Angsuran),780000000,234000000,1014000000,507000000,60,8450000,33,785850000,228150000,Lunas Dini
KTR-AGP-2025050,KNS-1174,Ali Maulana,PRJ-03,Tipe 60/90,60,90,2025-06-30 07:36:00,Cash Keras Bertahap,540000000,118800000,658800000,197640000,24,19215000,18,543510000,115290000,Tertunggak 1-30 Hari
KTR-AGP-2025051,KNS-1264,Hana Hidayat,PRJ-03,Tipe 36/60,36,60,2025-07-10 14:01:00,IMBT (Sewa Beli / Leasing),240000000,52800000,292800000,146400000,60,2440000,4,156160000,136640000,Lancar
KTR-AGP-2025052,KNS-1130,Rania Saputra,PRJ-05,Tipe 36/60,36,60,2025-03-16 19:13:00,Murabahah (Jual Beli Angsuran),240000000,60000000,300000000,90000000,120,1750000,26,135500000,164500000,Tertunggak 1-30 Hari
KTR-AGP-2025053,KNS-1002,Muhammad Saputra,PRJ-05,Tipe 84/120,84,120,2025-03-31 18:34:00,Murabahah (Jual Beli Angsuran),780000000,171600000,951600000,190320000,24,31720000,19,793000000,158600000,Lancar
KTR-AGP-2025054,KNS-2575,Ilham Lestari,PRJ-03,Tipe 36/60,36,60,2025-01-18 20:44:00,IMBT (Sewa Beli / Leasing),240000000,52800000,292800000,58560000,84,2788571,26,131062846,161737154,Lancar
KTR-AGP-2025055,KNS-1346,Danang Saputra,PRJ-03,Tipe 45/72,45,72,2025-09-25 20:08:00,Murabahah (Jual Beli Angsuran),380000000,83600000,463600000,92720000,120,3090666,1,95810666,367789334,Tertunggak 1-30 Hari
KTR-AGP-2025056,KNS-264,Ahmad Pratama,PRJ-01,Tipe 60/90,60,90,2025-11-08 21:20:00,IMBT (Sewa Beli / Leasing),540000000,135000000,675000000,135000000,120,4500000,30,270000000,405000000,Lancar
KTR-AGP-2025057,KNS-691,Taufiq Firmansyah,PRJ-05,Tipe 120/150 VIP,120,150,2025-01-01 08:38:00,Cash Keras Bertahap,1250000000,312500000,1562500000,156250000,36,39062500,19,898437500,664062500,Lancar
KTR-AGP-2025058,KNS-144,Laila Pratama,PRJ-03,Tipe 45/72,45,72,2025-12-31 21:24:00,Murabahah (Jual Beli Angsuran),380000000,95000000,475000000,95000000,84,4523809,14,158333326,316666674,Tertunggak >60 Hari
KTR-AGP-2025059,KNS-2291,Danang Firmansyah,PRJ-03,Tipe 36/60,36,60,2025-10-30 08:58:00,Istishna' (Pesan Bangun),240000000,60000000,300000000,30000000,120,2250000,9,50250000,249750000,Dalam Pantauan
KTR-AGP-2025060,KNS-1239,Azizah Ramadhan,PRJ-03,Tipe 120/150 VIP,120,150,2025-06-20 12:28:00,Cash Keras Bertahap,1250000000,312500000,1562500000,781250000,120,6510416,20,911458320,651041680,Lancar
KTR-AGP-2025061,KNS-1467,Harun Maulana,PRJ-03,Tipe 36/60,36,60,2025-08-06 07:15:00,IMBT (Sewa Beli / Leasing),240000000,72000000,312000000,31200000,36,7800000,12,124800000,187200000,Tertunggak >60 Hari
KTR-AGP-2025062,KNS-1340,Ilham Hakim,PRJ-05,Tipe 120/150 VIP,120,150,2025-06-06 09:41:00,IMBT (Sewa Beli / Leasing),1250000000,375000000,1625000000,812500000,84,9672619,7,880208333,744791667,Lunas Dini
KTR-AGP-2025063,KNS-383,Ibrahim Utami,PRJ-02,Tipe 36/60,36,60,2025-11-21 11:10:00,Cash Keras Bertahap,240000000,72000000,312000000,62400000,24,10400000,22,291200000,20800000,Lancar
KTR-AGP-2025064,KNS-2418,Ibrahim Suryono,PRJ-05,Tipe 120/150 VIP,120,150,2025-03-22 15:26:00,Istishna' (Pesan Bangun),1250000000,225000000,1475000000,147500000,84,15803571,28,589999988,885000012,Lunas Dini
KTR-AGP-2025065,KNS-1921,Zaid Santoso,PRJ-03,Tipe 45/72,45,72,2025-01-12 20:18:00,Cash Keras Bertahap,380000000,114000000,494000000,98800000,120,3293333,15,148199995,345800005,Lancar
KTR-AGP-2025066,KNS-2261,Nisa Ramadhan,PRJ-02,Tipe 60/90,60,90,2025-06-05 20:41:00,Cash Keras Bertahap,540000000,162000000,702000000,140400000,24,23400000,3,210600000,491400000,Tertunggak >60 Hari
KTR-AGP-2025067,KNS-1094,Ali Lestari,PRJ-01,Tipe 120/150 VIP,120,150,2025-02-15 11:01:00,Cash Keras Bertahap,1250000000,375000000,1625000000,162500000,120,12187500,11,296562500,1328437500,Lunas Dini
KTR-AGP-2025068,KNS-894,Rizky Maulana,PRJ-01,Tipe 120/150 VIP,120,150,2025-05-21 15:53:00,IMBT (Sewa Beli / Leasing),1250000000,375000000,1625000000,325000000,24,54166666,11,920833326,704166674,Lancar
KTR-AGP-2025069,KNS-370,Umar Saputra,PRJ-04,Tipe 60/90,60,90,2025-10-10 13:36:00,Murabahah (Jual Beli Angsuran),540000000,118800000,658800000,131760000,36,14640000,33,614880000,43920000,Lancar
KTR-AGP-2025070,KNS-182,Ahmad Pratama,PRJ-04,Tipe 120/150 VIP,120,150,2025-05-09 16:44:00,Istishna' (Pesan Bangun),1250000000,312500000,1562500000,312500000,84,14880952,15,535714280,1026785720,Lancar
KTR-AGP-2025071,KNS-2643,Zahra Hidayat,PRJ-04,Tipe 60/90,60,90,2025-01-13 15:57:00,Cash Keras Bertahap,540000000,162000000,702000000,140400000,60,9360000,11,243360000,458640000,Tertunggak >60 Hari
KTR-AGP-2025072,KNS-887,Danang Utami,PRJ-03,Tipe 84/120,84,120,2025-11-24 15:17:00,IMBT (Sewa Beli / Leasing),780000000,234000000,1014000000,202800000,120,6760000,36,446160000,567840000,Lunas Dini
KTR-AGP-2025073,KNS-153,Fikri Saputra,PRJ-02,Tipe 45/72,45,72,2025-07-06 10:35:00,IMBT (Sewa Beli / Leasing),380000000,114000000,494000000,247000000,36,6861111,31,459694441,34305559,Lancar
KTR-AGP-2025074,KNS-2761,Rizky Firmansyah,PRJ-05,Tipe 120/150 VIP,120,150,2025-07-10 16:36:00,Cash Keras Bertahap,1250000000,375000000,1625000000,812500000,36,22569444,28,1444444432,180555568,Lancar
KTR-AGP-2025075,KNS-2078,Farhan Wijaya,PRJ-02,Tipe 120/150 VIP,120,150,2025-11-24 21:37:00,Istishna' (Pesan Bangun),1250000000,375000000,1625000000,325000000,24,54166666,17,1245833322,379166678,Lunas Dini
KTR-AGP-2025076,KNS-650,Ibrahim Utami,PRJ-04,Tipe 60/90,60,90,2025-05-31 18:00:00,Istishna' (Pesan Bangun),540000000,97200000,637200000,63720000,24,23895000,19,517725000,119475000,Lancar
KTR-AGP-2025077,KNS-1813,Umar Lestari,PRJ-04,Tipe 45/72,45,72,2025-12-20 10:33:00,IMBT (Sewa Beli / Leasing),380000000,68400000,448400000,89680000,60,5978666,31,275018646,173381354,Dalam Pantauan
KTR-AGP-2025078,KNS-2252,Ibrahim Maulana,PRJ-02,Tipe 45/72,45,72,2025-09-18 15:05:00,Murabahah (Jual Beli Angsuran),380000000,83600000,463600000,139080000,36,9014444,13,256267772,207332228,Tertunggak >60 Hari
KTR-AGP-2025079,KNS-2403,Laila Saputra,PRJ-04,Tipe 84/120,84,120,2025-07-01 16:58:00,Murabahah (Jual Beli Angsuran),780000000,234000000,1014000000,202800000,24,33800000,17,777400000,236600000,Lancar
KTR-AGP-2025080,KNS-868,Harun Ramadhan,PRJ-05,Tipe 45/72,45,72,2025-08-31 18:00:00,Murabahah (Jual Beli Angsuran),380000000,68400000,448400000,44840000,120,3363000,16,98648000,349752000,Lunas Dini
KTR-AGP-2025081,KNS-2757,Ahmad Ramadhan,PRJ-04,Tipe 60/90,60,90,2025-07-29 15:41:00,Istishna' (Pesan Bangun),540000000,118800000,658800000,197640000,24,19215000,20,581940000,76860000,Lancar
KTR-AGP-2025082,KNS-2858,Ahmad Wijaya,PRJ-03,Tipe 120/150 VIP,120,150,2025-08-31 08:50:00,Murabahah (Jual Beli Angsuran),1250000000,312500000,1562500000,312500000,120,10416666,20,520833320,1041666680,Lancar
KTR-AGP-2025083,KNS-1590,Rafi Wijaya,PRJ-03,Tipe 84/120,84,120,2025-08-03 14:31:00,Istishna' (Pesan Bangun),780000000,234000000,1014000000,202800000,84,9657142,20,395942840,618057160,Lancar
KTR-AGP-2025084,KNS-2856,Nisa Nugroho,PRJ-05,Tipe 45/72,45,72,2025-02-05 19:42:00,IMBT (Sewa Beli / Leasing),380000000,83600000,463600000,231800000,36,6438888,20,360577760,103022240,Tertunggak >60 Hari
KTR-AGP-2025085,KNS-618,Zahra Lestari,PRJ-05,Tipe 60/90,60,90,2025-04-05 17:36:00,Murabahah (Jual Beli Angsuran),540000000,97200000,637200000,191160000,24,18585000,15,469935000,167265000,Tertunggak >60 Hari
KTR-AGP-2025086,KNS-2723,Nurul Kusuma,PRJ-05,Tipe 120/150 VIP,120,150,2025-10-21 10:53:00,Murabahah (Jual Beli Angsuran),1250000000,275000000,1525000000,457500000,24,44479166,8,813333328,711666672,Lancar
KTR-AGP-2025087,KNS-2775,Aisyah Hakim,PRJ-03,Tipe 60/90,60,90,2025-06-16 10:04:00,Istishna' (Pesan Bangun),540000000,135000000,675000000,67500000,36,16875000,28,540000000,135000000,Lancar
KTR-AGP-2025088,KNS-1328,Zaid Suryono,PRJ-01,Tipe 45/72,45,72,2025-09-12 11:34:00,Murabahah (Jual Beli Angsuran),380000000,114000000,494000000,49400000,60,7410000,34,301340000,192660000,Tertunggak 1-30 Hari
KTR-AGP-2025089,KNS-1452,Ahmad Pratama,PRJ-05,Tipe 60/90,60,90,2025-12-23 12:22:00,Istishna' (Pesan Bangun),540000000,135000000,675000000,202500000,24,19687500,17,537187500,137812500,Lancar
KTR-AGP-2025090,KNS-1153,Rizky Ramadhan,PRJ-02,Tipe 45/72,45,72,2025-06-27 17:18:00,Cash Keras Bertahap,380000000,114000000,494000000,49400000,60,7410000,14,153140000,340860000,Lancar
