id_bayar,nis_santri,nama_santri,tingkat,jurusan,kamar_asrama,tgl_bayar,kode_pos_biaya,nama_pos_biaya,nominal_tagihan,nominal_dibayar,status_bayar,metode_bayar,nama_wali,kategori_beasiswa
BYR-PSN-20250001,NIS-24661,Farhan Saputra,Persiapan,MAT,Gedung Abu Bakar Ash-Shiddiq Kamar 200,2025-11-06 17:07:00,SPP-BULAN,SPP Pendidikan & Asrama Bulanan,2750000,2750000,Lunas,Transfer Bank Muamalat,H. Ali Firmansyah,Reguler (Mandiri)
BYR-PSN-20250002,NIS-23563,Zaid Hidayat,SMK,DKV,Gedung Thalhah bin Ubaidillah Kamar 157,2025-04-01 07:34:00,EKSKUL,Ekstrakurikuler Robotik & Panahan,150000,150000,Lunas,QRIS Pendidikan,H. Farhan Nugroho,Reguler (Mandiri)
BYR-PSN-20250003,NIS-23390,Danang Santoso,SMK,TKJ,Gedung Ali bin Abi Thalib Kamar 179,2025-07-10 18:39:00,EKSKUL,Ekstrakurikuler Robotik & Panahan,150000,150000,Lunas,QRIS Pendidikan,H. Muhammad Saputra,Reguler (Mandiri)
BYR-PSN-20250004,NIS-25976,Taufiq Firmansyah,SMK,RPL,Gedung Thalhah bin Ubaidillah Kamar 293,2025-12-02 17:51:00,LAUNDRY,Jasa Laundry Seragam Santri,200000,200000,Lunas,QRIS Pendidikan,H. Ahmad Ramadhan,Reguler (Mandiri)
BYR-PSN-20250005,NIS-25013,Danang Suryono,SMK,DKV,Gedung Abu Bakar Ash-Shiddiq Kamar 265,2025-02-03 18:19:00,LAUNDRY,Jasa Laundry Seragam Santri,200000,200000,Lunas,Tunai Bendahara,H. Ahmad Firmansyah,Reguler (Mandiri)
BYR-PSN-20250006,NIS-24799,Muhammad Saputra,SMK,DKV,Gedung Ali bin Abi Thalib Kamar 110,2025-12-07 15:20:00,EKSKUL,Ekstrakurikuler Robotik & Panahan,150000,150000,Lunas,QRIS Pendidikan,H. Farhan Kusuma,Reguler (Mandiri)
BYR-PSN-20250007,NIS-24235,Fikri Kusuma,SMP,SMP-IT,Gedung Thalhah bin Ubaidillah Kamar 154,2025-06-23 15:44:00,LAUNDRY,Jasa Laundry Seragam Santri,200000,0,Lunas Beasiswa Penuh,QRIS Pendidikan,H. Zaid Ramadhan,Beasiswa Yatim Dhuafa 100%
BYR-PSN-20250008,NIS-24692,Taufiq Ramadhan,SMK,DKV,Gedung Abu Bakar Ash-Shiddiq Kamar 140,2025-09-15 08:11:00,INFAQ-JUMAT,Infaq Sedekah Jumat Santri,50000,25000,Lunas (Potongan 50%),Transfer Bank Muamalat,H. Muhammad Firmansyah,Beasiswa Prestasi 50%
BYR-PSN-20250009,NIS-25462,Rizky Hidayat,SMK,DKV,Gedung Utsman bin Affan Kamar 103,2025-10-24 16:06:00,LAUNDRY,Jasa Laundry Seragam Santri,200000,0,Lunas Beasiswa Penuh,Virtual Account Bank Syariah,H. Fikri Suryono,Beasiswa Yatim Dhuafa 100%
BYR-PSN-20250010,NIS-24121,Umar Santoso,SMK,DKV,Gedung Abu Bakar Ash-Shiddiq Kamar 149,2025-04-23 12:40:00,KATERING,Katering Makan 3x Sehari & Nutrisi,1250000,0,Lunas Beasiswa Penuh,Virtual Account Bank Syariah,H. Ilham Firmansyah,Beasiswa Yatim Dhuafa 100%
BYR-PSN-20250011,NIS-24234,Ahmad Saputra,SMP,SMP-IT,Gedung Abu Bakar Ash-Shiddiq Kamar 120,2025-11-02 15:24:00,SARPRAS,Pengembangan Sarana Lab Komputer & Server,850000,850000,Lunas,Tunai Bendahara,H. Hasan Pratama,Reguler (Mandiri)
BYR-PSN-20250012,NIS-24589,Muhammad Hakim,SMK,TKJ,Gedung Abu Bakar Ash-Shiddiq Kamar 263,2025-09-27 20:28:00,KATERING,Katering Makan 3x Sehari & Nutrisi,1250000,1250000,Lunas,Virtual Account Bank Syariah,H. Ibrahim Suryono,Reguler (Mandiri)
BYR-PSN-20250013,NIS-25851,Muhammad Kusuma,SMP,SMP-IT,Gedung Thalhah bin Ubaidillah Kamar 176,2025-12-03 12:58:00,SERTIFIKASI,Ujian Sertifikasi Kompetensi Internasional,1500000,1500000,Lunas,Tunai Bendahara,H. Umar Hidayat,Reguler (Mandiri)
