id_setoran,id_santri,nama_santri,kelompok_halaqah,kode_program,id_musyrif,nama_musyrif,waktu_setoran,juz_setor,halaman_mulai,halaman_selesai,jumlah_halaman,skor_kelancaran_1_100,skor_tajwid_1_100,status_kelulusan_halaman,infaq_bulanan_terbayar
STR-QUR-2025001,SNTR-847,Danang Ramadhan,Halaqah Imam Abu Amr,PRG-03,MSR-01,"Ust. Muhaimin, Al-Hafizh (Sanad Ashim)",2025-04-04 07:02:00,3,45,47,2,71,72,I'adah (Wajib Ulang),400000
STR-QUR-2025002,SNTR-1452,Farhan Lestari,Halaqah Imam Ibnu Katsir,PRG-03,MSR-04,"Ust. Fatih Karim, Al-Hafizh",2025-04-05 21:14:00,13,250,253,3,94,73,Jayyid Jiddan (Lulus Baik),400000
STR-QUR-2025003,SNTR-1409,Rizky Hakim,Halaqah Imam Nafi,PRG-03,MSR-05,"Ust. Wildan Syakir, Al-Hafizh",2025-11-03 12:30:00,5,83,93,10,70,72,I'adah (Wajib Ulang),400000
STR-QUR-2025004,SNTR-477,Muhammad Saputra,Halaqah Imam Nafi,PRG-01,MSR-05,"Ust. Wildan Syakir, Al-Hafizh",2025-01-04 17:09:00,7,121,131,10,65,83,I'adah (Wajib Ulang),350000
STR-QUR-2025005,SNTR-755,Safira Santoso,Halaqah Imam Ashim,PRG-01,MSR-05,"Ust. Wildan Syakir, Al-Hafizh",2025-04-25 20:35:00,8,147,148,1,78,88,Jayyid Jiddan (Lulus Baik),350000
STR-QUR-2025006,SNTR-225,Taufiq Saputra,Halaqah Imam Nafi,PRG-01,MSR-03,"Usth. Maryam Al-Khattab, Al-Hafizhah",2025-01-17 13:05:00,23,445,450,5,78,78,Jayyid Jiddan (Lulus Baik),350000
STR-QUR-2025007,SNTR-273,Hana Kusuma,Halaqah Imam Nafi,PRG-05,MSR-04,"Ust. Fatih Karim, Al-Hafizh",2025-08-07 21:52:00,4,68,73,5,95,92,Mumtaz (Lulus Sempurna),500000
STR-QUR-2025008,SNTR-1180,Aisyah Hidayat,Halaqah Imam Abu Amr,PRG-01,MSR-03,"Usth. Maryam Al-Khattab, Al-Hafizhah",2025-08-26 21:26:00,7,121,141,20,75,79,Jayyid Jiddan (Lulus Baik),350000
STR-QUR-2025009,SNTR-898,Ibrahim Pratama,Halaqah Imam Nafi,PRG-02,MSR-05,"Ust. Wildan Syakir, Al-Hafizh",2025-06-14 17:31:00,2,23,26,3,80,72,Jayyid Jiddan (Lulus Baik),300000
STR-QUR-2025010,SNTR-1104,Rafi Firmansyah,Halaqah Imam Ibnu Katsir,PRG-02,MSR-04,"Ust. Fatih Karim, Al-Hafizh",2025-09-25 09:17:00,3,50,52,2,70,85,I'adah (Wajib Ulang),300000
