id_transaksi_mart,tgl_transaksi,id_anggota,nama_anggota,tipe_anggota,kode_produk,nama_produk,kategori_produk,harga_jual,harga_pokok,qty_beli,total_omset,laba_kotor,metode_bayar,poin_keaktifan_shu
KOP-20250001,2025-01-11 07:54:00,ANG-1585,Hasan Santoso,Masyarakat Sekitar,PRD-07,Alat Tulis & Buku Tulis 58 Lembar,Stationery,6000,3200,1,6000,2800,Tunai,0
KOP-20250002,2025-08-16 07:14:00,ANG-525,Danang Ramadhan,Karyawan Pesantren,PRD-07,Alat Tulis & Buku Tulis 58 Lembar,Stationery,6000,3200,3,18000,8400,Saldo Tabungan Wadiah Koperasi,6
KOP-20250003,2025-01-25 15:02:00,ANG-1573,Ahmad Kusuma,Wali Santri / Tamu,PRD-08,Madu Habbatussauda Murni 250gr,Herbal & Kesehatan,65000,40000,2,130000,50000,Saldo Tabungan Wadiah Koperasi,0
KOP-20250004,2025-11-21 17:31:00,ANG-387,Ilham Suryono,Wali Santri / Tamu,PRD-06,Sarung Tenun & Peci Santri Premium,Pakaian & Busana,95000,60000,2,190000,70000,Tunai,0
KOP-20250005,2025-09-09 07:27:00,ANG-242,Azizah Ramadhan,Masyarakat Sekitar,PRD-04,Roti Bakar & Snack Halal Pesantren,Makanan Ringan,8000,4500,1,8000,3500,Tunai,0
KOP-20250006,2025-08-13 09:16:00,ANG-333,Ibrahim Ramadhan,Santri Asrama,PRD-02,Minyak Wangi Non-Alkohol & Siwak,Ibadah & Sunnah,25000,12000,6,150000,78000,Kartu Santri Smart Card (RFID),12
KOP-20250007,2025-01-29 16:13:00,ANG-1991,Ali Maulana,Masyarakat Sekitar,PRD-02,Minyak Wangi Non-Alkohol & Siwak,Ibadah & Sunnah,25000,12000,2,50000,26000,Saldo Tabungan Wadiah Koperasi,0
KOP-20250008,2025-05-28 21:40:00,ANG-974,Muhammad Wijaya,Santri Asrama,PRD-02,Minyak Wangi Non-Alkohol & Siwak,Ibadah & Sunnah,25000,12000,2,50000,26000,Saldo Tabungan Wadiah Koperasi,4
KOP-20250009,2025-06-13 20:57:00,ANG-1821,Rizky Utami,Ustadz / Pengajar,PRD-02,Minyak Wangi Non-Alkohol & Siwak,Ibadah & Sunnah,25000,12000,1,25000,13000,Saldo Tabungan Wadiah Koperasi,2
KOP-20250010,2025-12-30 12:44:00,ANG-1097,Laila Wijaya,Wali Santri / Tamu,PRD-08,Madu Habbatussauda Murni 250gr,Herbal & Kesehatan,65000,40000,4,260000,100000,Tunai,0
KOP-20250011,2025-10-16 17:25:00,ANG-2207,Rizky Ramadhan,Karyawan Pesantren,PRD-03,Air Mineral Santri Al-Barakah 600ml,Minuman,3500,2000,1,3500,1500,Saldo Tabungan Wadiah Koperasi,2
KOP-20250012,2025-12-15 08:24:00,ANG-2358,Laila Firmansyah,Karyawan Pesantren,PRD-06,Sarung Tenun & Peci Santri Premium,Pakaian & Busana,95000,60000,2,190000,70000,Tunai,4
KOP-20250013,2025-03-30 14:08:00,ANG-1379,Azizah Ramadhan,Karyawan Pesantren,PRD-07,Alat Tulis & Buku Tulis 58 Lembar,Stationery,6000,3200,2,12000,5600,QRIS Kopontren,4
