id_konsultasi,tgl_booking,id_klien,nama_klien,domisili_kota,kode_layanan,nama_layanan,kategori_layanan,biaya_jasa,durasi_menit,id_konsultan,nama_konsultan,kanal_sesi,skor_kepuasan_klien_1_5,status_penyelesaian,diskon_promo_voucher
ADV-SRV-2025001,2025-04-07 10:31:00,KLN-304,Ibu Zahra Nugroho,Kuala Lumpur (Online),SRV-03,Audit Portofolio Investasi & Bebas Riba,Investasi Syariah,1800000,90,KNS-03,"M. Reza Al-Faruq, S.E., CFP Syariah",Zoom Virtual Meeting,5,Selesai & Laporan Terbit,250000
ADV-SRV-2025002,2025-09-16 08:26:00,KLN-1520,Keluarga Ali Saputra,Yogyakarta,SRV-03,Audit Portofolio Investasi & Bebas Riba,Investasi Syariah,1800000,90,KNS-04,"Nur Aini Rahmawati, M.Sc., CFP",Tatap Muka Kantor Advisory,4,Selesai & Laporan Terbit,0
ADV-SRV-2025003,2025-05-09 13:16:00,KLN-1780,Keluarga Ali Hakim,Bekasi,SRV-06,Corporate Training Literasi Keuangan Syariah,Corporate Training,7500000,180,KNS-01,"Dr. H. Salman Faris, CFP Syariah",Private Mentoring Google Meet,4,Jadwal Ulang (Rescheduled),250000
ADV-SRV-2025004,2025-02-07 15:00:00,KLN-577,Keluarga Zaid Utami,Surabaya,SRV-01,Konsultasi Keuangan Keluarga Sakinah 1-on-1,Perencanaan Finansial,1200000,90,KNS-02,"Hj. Wardah Hanum, M.E.Sy., CFP",Zoom Virtual Meeting,5,Selesai & Laporan Terbit,0
ADV-SRV-2025005,2025-05-05 20:59:00,KLN-1990,Keluarga Safira Wijaya,Singapura (Online),SRV-01,Konsultasi Keuangan Keluarga Sakinah 1-on-1,Perencanaan Finansial,1200000,90,KNS-01,"Dr. H. Salman Faris, CFP Syariah",Tatap Muka Kantor Advisory,4,Jadwal Ulang (Rescheduled),0
ADV-SRV-2025006,2025-09-08 17:42:00,KLN-435,Ibu Rafi Utami,Kuala Lumpur (Online),SRV-05,Konsultasi Restrukturisasi Utang & Solusi Riba,Mediasi & Pemulihan,950000,60,KNS-01,"Dr. H. Salman Faris, CFP Syariah",Zoom Virtual Meeting,5,Selesai & Laporan Terbit,0
ADV-SRV-2025007,2025-11-08 11:36:00,KLN-1975,Keluarga Nurul Utami,Singapura (Online),SRV-04,Sertifikasi Sharia Financial Planner (SFP),Edukasi & Workshop,3500000,480,KNS-02,"Hj. Wardah Hanum, M.E.Sy., CFP",Private Mentoring Google Meet,5,Selesai & Laporan Terbit,500000
ADV-SRV-2025008,2025-01-04 21:46:00,KLN-1521,Ibu Laila Hakim,Surabaya,SRV-06,Corporate Training Literasi Keuangan Syariah,Corporate Training,7500000,180,KNS-05,"Fadhilurrohman, S.Sy., M.H.",Zoom Virtual Meeting,5,Jadwal Ulang (Rescheduled),500000
ADV-SRV-2025009,2025-04-25 10:50:00,KLN-1905,Ibu Azizah Firmansyah,Yogyakarta,SRV-06,Corporate Training Literasi Keuangan Syariah,Corporate Training,7500000,180,KNS-03,"M. Reza Al-Faruq, S.E., CFP Syariah",Zoom Virtual Meeting,5,Dalam Proses Analisis,0
ADV-SRV-2025010,2025-05-26 10:41:00,KLN-1000,Bpk. Nurul Nugroho,Singapura (Online),SRV-02,Perencanaan Waris & Wasiat Syariah Komprehensif,Hukum & Faraidh,2500000,120,KNS-02,"Hj. Wardah Hanum, M.E.Sy., CFP",Tatap Muka Kantor Advisory,5,Selesai & Laporan Terbit,100000
